Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance,GCB,BLUE,OSCAR,LUCE,FAO_peat,LPX_Bern_peat,ORCHIDEE_peat,CABLE-POP,CLASSIC,CLM6.0,CLM-FATES,DLEM,ED,ELM,ELM-FATES,GDSTEM,IBIS,iMAPLE,ISAM,JSBACH,JULES,LPJ-EOSIM,LPJ-GUESS,LPJml,LPX,Orchidee,SDGVM,VISIT,VISIT-UT
1959,2.416788245,2.37248,2.03904,1.115080703,0.45334483,0.013422795,1.168379918,2.37248,2.913,1.85103,2.35341,0.14312,0.33767,0.24572,2.056920584,1.125374,2.198238209,1.2066152,3.101192509,2.252144742,1.95439256,1.510799951,2.294358784,1.61338756,2.2340781,2.416412,1.0000542,1.457002826,2.17231347,1.78049895,1.931657754,1.185652012,1.09760551,1.482524083,1.8165,0.96603836
1960,2.561940878,2.07712,1.50804,1.083686022,0.733534084,0.014642637,1.299158135,2.07712,2.45113,1.76627,2.01396,0.14312,0.24699,0.20734,1.651700689,1.317859,2.244020173,1.0323225,3.085405387,2.473140703,1.06669504,0.921332775,2.669447686,1.82658258,3.6341452,2.843613,0.726438,1.44233259,1.38493996,1.7586963,1.849798015,1.285039646,1.19674345,1.6410836,1.36346,1.5516644
1961,2.569593474,2.082466667,1.65672,1.024928702,0.682194718,0.01561536,1.272601362,2.082466667,2.47789,1.74316,2.02635,0.14312,0.34011,0.22102,1.215731593,0.97174,1.714431343,0.9629625,2.87227091,2.037328867,1.52124548,1.461879612,1.654152279,1.33940197,0.6924118,1.838212,0.72731,1.486948418,1.60139633,1.41510274,1.330699867,0.867905304,1.04132152,1.347943592,1.42393,0.35681226
1962,2.660273139,1.948253333,1.18944,1.069268345,1.133209243,0.01674701,1.199861875,1.948253333,2.31003,1.6444,1.89033,0.14312,0.12816,0.21026,1.627178932,0.740277,1.807901284,1.1973866,2.354648725,2.142712007,1.1717447,1.257761169,1.71112579,1.19622554,1.0674808,1.869194,0.806594,1.32295405,1.38099287,1.33138022,1.523228015,0.891288393,0.9989872,1.058764355,1.43434,0.05399469
1963,2.80206814,1.897743333,1.21068,1.266523158,0.773127183,0.017818609,1.431662523,1.897743333,2.24292,1.62795,1.82236,0.14312,0.17595,0.21214,1.878846263,0.7753,1.770901885,1.2494706,2.151721734,2.208442276,1.51854103,1.354637364,2.320674286,1.24091322,0.9732277,1.922028,0.978747,1.24878732,1.22152693,0.97982165,1.412314366,0.343411757,0.97082816,0.812302538,1.34642,0.07136206
1964,2.954276652,1.817663333,1.04076,1.366217676,0.986012346,0.01948775,1.359462213,1.817663333,2.12081,1.58021,1.75197,0.14312,0.15296,0.22599,1.506932574,0.547513,1.743538373,1.0934373,2.02103471,2.155679869,1.14020089,0.689134719,1.294741806,0.88980722,0.4882698,1.560693,1.004616,1.08006857,1.15856146,1.10989197,1.685739891,0.697021927,0.9420588,0.979975548,1.35432,0.12836955
1965,3.086954934,1.742746667,2.3364,1.455624485,0.349777999,0.020532104,0.667367013,1.742746667,2.03152,1.52027,1.67645,0.14312,0.14651,0.19686,1.433130567,1.065084,1.757349654,1.0363955,2.024346394,2.091301149,1.573447608,0.541637114,1.705496556,1.22436877,0.6654655,1.383587,1.183163,1.461071331,1.13676724,1.27030821,1.395753519,0.916181533,0.87395173,0.918925367,1.46486,0.15425373
1966,3.237616054,1.61494,2.3364,1.375644302,1.129989585,0.022035198,-0.011513031,1.61494,1.86901,1.44036,1.53545,0.14312,0.06452,0.19866,1.342399052,0.521954,1.556305252,1.191081,2.15202953,2.010891702,1.26100212,0.743116268,1.376570452,1.03863287,0.6402849,1.529596,0.817331,1.42629009,0.9902482,0.99837638,1.622109364,0.213857446,0.7555991,0.617244783,1.2738,-0.02392997
1967,3.33989376,1.70593,1.29564,1.221066718,1.335757919,0.023113855,1.170245268,1.70593,2.00413,1.43771,1.67595,0.14312,0.13568,0.20894,1.544276547,0.75933,1.466858663,1.2569676,1.981559205,1.892973611,1.18238873,0.717128726,1.020263841,0.93643523,0.1520835,1.335565,0.716376,1.15319365,1.13069312,1.1553202,1.049021544,0.453032602,0.75779241,0.439184852,1.44924,-0.08806451
1968,3.522181676,1.726836667,2.10276,1.357795389,1.602117039,0.024712219,0.161633695,1.726836667,2.01168,1.45352,1.71531,0.14312,0.15826,0.20142,1.574578916,0.549749,1.519244447,1.2034333,2.157089539,2.25902054,1.32825969,0.698852391,1.661527463,1.09330842,1.0635906,1.773623,0.980666,1.14232335,0.88189331,1.07100299,1.308106967,0.291133218,0.7122019,0.583717477,1.06862,-0.01921352
1969,3.755949069,1.894253333,2.80368,1.469982452,0.587492738,0.026169346,0.762877866,1.894253333,2.21087,1.5439,1.92799,0.14312,0.24095,0.2003,1.112406727,0.828403,1.617705174,1.3810672,2.236981474,1.93813664,1.897812835,0.763907122,1.107916114,1.25341867,1.3732128,1.588216,1.310673,1.438359721,1.3934035,1.39188788,1.570639865,0.486549356,0.81127029,1.31609786,1.74702,0.2369001
1970,4.066358737,1.825783333,2.40012,1.347390717,0.730587062,0.027733453,1.386310838,1.825783333,2.08168,1.61273,1.78294,0.14312,0.2891,0.21811,1.338664251,1.159773,1.983805007,1.4334951,2.129369154,2.014749448,1.184710836,0.852105572,1.81986668,1.26316513,1.8214072,1.979562,1.121553,1.745033149,1.60026675,1.5720822,1.720145035,0.90967375,0.9187562,1.572924012,1.5268,0.4326022
1971,4.231403836,1.6756,1.55052,1.436175164,1.652070056,0.029442299,1.238796316,1.6756,1.92848,1.49471,1.60361,0.14312,0.11737,0.20888,1.073961955,0.848807,1.652648965,1.3031297,2.310742907,2.181570653,0.84806162,0.570144786,1.088551744,1.24632221,0.8593075,1.599805,0.973931,1.2937828,1.3561761,1.42906309,1.01829429,0.772365576,0.6372224,0.991899848,1.18367,0.275304
1972,4.428106049,1.75712,3.12228,1.643025742,0.808476158,0.0312159,0.58022825,1.75712,2.09255,1.47411,1.7047,0.14312,0.15719,0.20446,1.866112361,0.827569,1.609216475,1.3459698,2.019748892,2.146226417,1.45570148,0.6340786,1.747067979,1.18923528,0.35507,1.32695,1.433529,1.451864588,1.18700341,1.11020008,1.534304854,0.606024554,0.6169304,0.33881199,1.32958,0.04477876
1973,4.660831344,1.70695,3.10104,1.593491798,1.144140046,0.033593512,0.495515989,1.70695,1.99865,1.47929,1.64291,0.14312,0.1411,0.19348,1.018151956,0.665448,1.708834454,1.2044877,2.108262594,1.894135277,1.48753423,0.956217326,0.933010783,0.95714073,0.6862206,1.728883,1.066563,1.640884547,1.28575581,1.18814728,0.830954728,0.701318333,0.7257132,0.943700523,1.53883,0.31625235
1974,4.639168013,1.72298,1.44432,1.534986342,2.945270203,0.034312049,0.40325942,1.72298,1.99016,1.5178,1.66098,0.14312,0.20508,0.20973,0.741884208,0.333036,1.348249628,1.4914209,2.258362858,1.877697932,0.46547863,0.758147093,1.339773282,1.01278613,0.280606,1.536064,0.53439,1.08416426,1.06629342,1.40696737,0.790795014,0.315549513,0.5386956,0.154895443,0.886,-0.41139041
1975,4.636592999,1.67126,2.61252,1.522885861,2.094590034,0.034625223,0.04323188,1.67126,1.91347,1.48893,1.61138,0.14312,0.12828,0.19713,1.561444655,0.611869,1.708951182,1.4635166,2.242776673,2.161844074,1.12030383,0.91320316,2.144220817,1.09362817,0.6615846,1.489342,0.92612,1.3182232,1.09062304,0.96603848,1.403837448,0.057001802,0.5499691,1.055759238,1.06185,-0.20806926
1976,4.875134201,1.654006667,2.06028,1.641696961,2.165962371,0.03699347,0.624208065,1.654006667,1.86563,1.49324,1.60315,0.14312,0.17554,0.20514,1.579681819,0.627854,1.563652472,1.3944062,2.394726784,2.068769007,0.95880066,0.669482088,1.652674026,0.93072212,0.5521534,1.385547,0.9134,1.08233912,0.81668819,0.97130483,1.260918292,0.412840729,0.536436,0.486689404,0.92564,-0.20325505
1977,5.010381734,1.806793333,4.07808,1.710687132,1.144820893,0.038822476,-0.155235434,1.806793333,2.12444,1.5089,1.78704,0.14312,0.20763,0.19877,1.485355061,0.777186,1.701881473,1.4466238,2.042141623,1.945578221,1.59886374,0.573560781,0.833777549,1.0521792,0.5786202,1.244823,1.091464,1.31234457,1.1666686,0.79356319,1.213087968,-0.009110465,0.3005599,0.984466945,1.33854,-0.04188906
1978,5.192342066,1.791456667,2.73996,1.703862516,2.112148147,0.04136374,0.38646433,1.791456667,2.09583,1.51423,1.76431,0.14312,0.19562,0.19358,1.043641283,0.553288,1.773326441,1.6058742,2.469970264,1.789542357,1.14368332,0.379360753,1.412384038,1.14438175,1.0973226,1.779254,0.586822,1.42845168,1.24341688,1.58318872,1.288017637,0.846959468,0.599881,0.855193485,1.28174,-0.08675948
1979,5.324396964,1.598206667,4.54536,1.656113848,1.083590748,0.042667138,-0.405128103,1.598206667,1.81779,1.42876,1.54807,0.14312,0.13035,0.18553,1.16680142,1.007305,1.770520164,1.2502996,2.424229338,2.079406071,1.46768937,0.552448162,1.821799433,1.22037277,1.1085153,1.727876,1.120844,1.68555872,0.91306517,1.26151604,1.925502711,0.767686891,0.5494288,1.141661435,1.22953,0.0302825
1980,5.297432596,1.637913333,3.56832,2.011937266,0.248003946,0.043716565,1.063368152,1.637913333,1.87536,1.43377,1.60461,0.14312,0.23201,0.19064,1.608425362,1.248113,1.671512597,1.0286194,2.263092166,2.157057985,1.745561016,0.619613882,1.336987703,1.05158636,0.4296283,1.136316,1.0636,1.599514876,1.27088104,0.76489923,1.798059567,0.946332821,0.37530155,1.059247329,1.64962,0.22990603
1981,5.15277201,1.592953333,2.4426,1.94005851,1.614479234,0.044374974,0.704212625,1.592953333,1.83244,1.39666,1.54976,0.15202,0.11011,0.1998,1.055116949,0.451694,1.651712416,1.2473785,2.085123838,2.099272005,1.19433531,0.519301489,0.849697107,1.04995808,0.6689748,1.388158,1.039068,1.479916464,1.17315227,1.25203768,1.011823891,0.658081141,0.2734399,0.694874191,1.15226,0.14836227
1982,5.11182925,1.509703333,2.10276,2.026563587,1.327218629,0.044910709,1.120079658,1.509703333,1.70151,1.36479,1.46281,0.16093,0.10605,0.18618,1.52740877,0.698221,1.607002647,1.2654633,2.108037384,1.856207826,1.0205281,0.265161951,1.6959446,1.04126366,0.6000935,1.244187,1.1745471,1.57380802,1.08974369,1.37621675,1.754303526,0.577012694,0.5216703,0.76136119,1.25277,-0.00918766
1983,5.158781398,1.593846667,3.90816,2.213703211,0.208065986,0.046106053,0.376592815,1.593846667,1.84438,1.38438,1.55278,0.16983,0.1321,0.22062,1.42676346,1.177005,1.79669092,0.9907101,2.080099439,1.924994157,1.699213761,0.526389674,1.011425153,0.94293695,0.4010185,1.282925,1.398307,1.882777271,1.22450334,0.73847961,1.401662889,1.26035203,0.26176251,0.978691254,1.76116,0.36205999
1984,5.310384756,1.753493333,2.61252,2.083126255,1.88332051,0.047416243,0.437495082,1.753493333,2.03842,1.48933,1.73273,0.17873,0.23778,0.26513,1.841286895,0.562936,1.479490284,1.1841937,2.123413703,1.78088872,1.32564032,0.61037865,0.553010704,0.78592923,0.760395,1.532614,1.1126,1.50516766,1.1332478,1.01199048,1.279919658,0.515489269,0.1300927,0.428667525,1.24636,-0.11963812
