Year,VAI,ENSO
1959,0.00011158,-0.394
1960,0.0001,-0.497
1961,0.0001,-0.569
1962,0.0001,-0.855
1963,0.07669,-0.424
1964,0.090631,-0.461
1965,0.041126,-0.372
1966,0.01542,0.237
1967,0.0058667,-0.818
1968,0.018837,-1.02
1969,0.038383,0.195
1970,0.017479,-0.372
1971,0.00669,-1.303
1972,0.0031312,-0.254
1973,0.001158,0.269
1974,0.0021031,-1.209
1975,0.028439,-0.95
1976,0.016253,-0.785
1977,0.0064975,0.251
1978,0.0027573,-0.382
1979,0.0010806,-0.201
1980,0.00039752,0.102
1981,0.00015205,-0.474
1982,0.076252,0.126
1983,0.088648,1.89
1984,0.038171,-0.591
1985,0.014492,-0.944
1986,0.0053717,-0.516
1987,0.0019762,0.897
1988,0.00072697,-0.218
1989,0.00026753,-1.016
1990,0.0001184,-0.174
1991,0.068839,0.157
1992,0.15198,0.803
1993,0.069187,0.19
1994,0.026557,-0.065
1995,0.010458,0.03
1996,0.0038472,-0.791
1997,0.0014152,0.17
1998,0.0005207,1.861
1999,0.00019155,-0.894
2000,0,-0.922
2001,0,-0.327
2002,0,-0.098
2003,0,0.329
2004,0,0.188
2005,0,0.243
2006,0,-0.383
2007,0,0.002
2008,0,-0.793
2009,0,0.008
2010,0,0.309
2011,0,-0.823
2012,0,-0.254
2013,0,-0.403
2014,0,-0.077
2015,0,0.822
2016,0,1.35
2017,0,-0.053
2018,0,-0.637
2019,0,0.465
2020,0,-0.081
2021,0,-0.717
2022,0,-0.889
2023,0,0.165
2024,0,1.015
