year,BLUE,OSCAR,LUCE,CABLE-POP_plus_FAO_peat,CABLE-POP_plus_LPX_Bern_peat,CABLE-POP_plus_ORCHIDEE_peat,CLASSIC_plus_FAO_peat,CLASSIC_plus_LPX_Bern_peat,CLASSIC_plus_ORCHIDEE_peat,CLM6.0_plus_FAO_peat,CLM6.0_plus_LPX_Bern_peat,CLM6.0_plus_ORCHIDEE_peat,CLM-FATES_plus_FAO_peat,CLM-FATES_plus_LPX_Bern_peat,CLM-FATES_plus_ORCHIDEE_peat,DLEM_plus_FAO_peat,DLEM_plus_LPX_Bern_peat,DLEM_plus_ORCHIDEE_peat,ED_plus_FAO_peat,ED_plus_LPX_Bern_peat,ED_plus_ORCHIDEE_peat,ELM_plus_FAO_peat,ELM_plus_LPX_Bern_peat,ELM_plus_ORCHIDEE_peat,ELM-FATES_plus_FAO_peat,ELM-FATES_plus_LPX_Bern_peat,ELM-FATES_plus_ORCHIDEE_peat,GDSTEM_plus_FAO_peat,GDSTEM_plus_LPX_Bern_peat,GDSTEM_plus_ORCHIDEE_peat,IBIS_plus_FAO_peat,IBIS_plus_LPX_Bern_peat,IBIS_plus_ORCHIDEE_peat,iMAPLE_plus_FAO_peat,iMAPLE_plus_LPX_Bern_peat,iMAPLE_plus_ORCHIDEE_peat,ISAM_plus_FAO_peat,ISAM_plus_LPX_Bern_peat,ISAM_plus_ORCHIDEE_peat,JSBACH_plus_FAO_peat,JSBACH_plus_LPX_Bern_peat,JSBACH_plus_ORCHIDEE_peat,JULES_plus_FAO_peat,JULES_plus_LPX_Bern_peat,JULES_plus_ORCHIDEE_peat,LPJ-EOSIM_plus_FAO_peat,LPJ-EOSIM_plus_LPX_Bern_peat,LPJ-EOSIM_plus_ORCHIDEE_peat,LPJ-GUESS_plus_FAO_peat,LPJ-GUESS_plus_LPX_Bern_peat,LPJ-GUESS_plus_ORCHIDEE_peat,LPJml_plus_FAO_peat,LPJml_plus_LPX_Bern_peat,LPJml_plus_ORCHIDEE_peat,LPX_plus_FAO_peat,LPX_plus_LPX_Bern_peat,LPX_plus_ORCHIDEE_peat,Orchidee_plus_FAO_peat,Orchidee_plus_LPX_Bern_peat,Orchidee_plus_ORCHIDEE_peat,SDGVM_plus_FAO_peat,SDGVM_plus_LPX_Bern_peat,SDGVM_plus_ORCHIDEE_peat,VISIT_plus_FAO_peat,VISIT_plus_LPX_Bern_peat,VISIT_plus_ORCHIDEE_peat,VISIT-UT_plus_FAO_peat,VISIT-UT_plus_LPX_Bern_peat,VISIT-UT_plus_ORCHIDEE_peat
1959,2.913,1.85103,2.35341,2.2000405840000004,2.3945905840000004,2.302640584,1.268494,1.463044,1.371094,2.341358209,2.535908209,2.443958209,1.3497352,1.5442852,1.4523352,3.2443125090000002,3.4388625090000002,3.346912509,2.395264742,2.589814742,2.497864742,2.09751256,2.29206256,2.20011256,1.653919951,1.8484699510000002,1.756519951,2.437478784,2.632028784,2.540078784,1.75650756,1.9510575600000002,1.85910756,2.3771981,2.5717481,2.4797981,2.559532,2.754082,2.6621319999999997,1.1431741999999998,1.3377241999999998,1.2457741999999998,1.600122826,1.7946728260000002,1.702722826,2.3154334700000003,2.5099834700000003,2.41803347,1.9236189499999998,2.11816895,2.02621895,2.074777754,2.269327754,2.177377754,1.328772012,1.523322012,1.431372012,1.2407255099999999,1.4352755099999999,1.34332551,1.6256440829999999,1.820194083,1.7282440829999999,1.95962,2.15417,2.06222,1.10915836,1.30370836,1.21175836
1960,2.45113,1.76627,2.01396,1.794820689,1.8986906890000002,1.8590406890000002,1.4609789999999998,1.564849,1.525199,2.387140173,2.491010173,2.451360173,1.1754425,1.2793125,1.2396625000000001,3.2285253870000004,3.332395387,3.292745387,2.616260703,2.7201307029999997,2.6804807029999997,1.2098150399999998,1.31368504,1.27403504,1.064452775,1.168322775,1.128672775,2.812567686,2.9164376859999996,2.8767876859999997,1.9697025799999999,2.07357258,2.03392258,3.7772652,3.8811351999999997,3.8414851999999997,2.986733,3.0906029999999998,3.050953,0.869558,0.973428,0.933778,1.5854525899999998,1.68932259,1.64967259,1.52805996,1.6319299600000001,1.5922799600000002,1.9018163,2.0056863,1.9660363,1.9929180149999999,2.096788015,2.057138015,1.428159646,1.532029646,1.492379646,1.33986345,1.44373345,1.4040834500000001,1.7842036,1.8880736,1.8484236,1.5065799999999998,1.61045,1.5708,1.6947843999999999,1.7986544,1.7590044
1961,2.47789,1.74316,2.02635,1.358851593,1.5558415930000002,1.436751593,1.11486,1.3118500000000002,1.19276,1.857551343,2.054541343,1.935451343,1.1060825,1.3030725,1.1839825,3.0153909100000003,3.2123809100000003,3.0932909100000003,2.180448867,2.377438867,2.2583488669999996,1.6643654799999998,1.8613554799999998,1.74226548,1.6049996119999999,1.8019896119999999,1.682899612,1.797272279,1.994262279,1.875172279,1.4825219699999999,1.67951197,1.56042197,0.8355318,1.0325218,0.9134318,1.9813319999999999,2.178322,2.0592319999999997,0.87043,1.06742,0.94833,1.630068418,1.827058418,1.707968418,1.74451633,1.9415063300000002,1.82241633,1.55822274,1.7552127400000002,1.63612274,1.473819867,1.670809867,1.551719867,1.011025304,1.208015304,1.088925304,1.1844415199999998,1.38143152,1.2623415199999999,1.491063592,1.6880535920000002,1.568963592,1.5670499999999998,1.76404,1.64495,0.49993226,0.69692226,0.57783226
1962,2.31003,1.6444,1.89033,1.770298932,1.7553389320000001,1.837438932,0.883397,0.8684369999999999,0.950537,1.9510212839999999,1.936061284,2.018161284,1.3405065999999999,1.3255466,1.4076466,2.4977687250000002,2.482808725,2.564908725,2.285832007,2.270872007,2.352972007,1.3148647,1.2999047000000001,1.3820047,1.4008811689999998,1.385921169,1.468021169,1.85424579,1.8392857900000001,1.92138579,1.3393455399999998,1.32438554,1.4064855399999998,1.2106008,1.1956408,1.2777408000000001,2.012314,1.997354,2.079454,0.9497140000000001,0.9347540000000001,1.016854,1.46607405,1.4511140500000002,1.5332140500000002,1.52411287,1.50915287,1.59125287,1.47450022,1.45954022,1.5416402200000001,1.6663480149999998,1.651388015,1.7334880149999998,1.0344083929999999,1.019448393,1.1015483929999998,1.1421071999999999,1.1271472,1.2092472,1.201884355,1.1869243550000002,1.269024355,1.5774599999999999,1.5625,1.6446,0.19711468999999998,0.18215469,0.26425469
1963,2.24292,1.62795,1.82236,2.021966263,2.054796263,2.090986263,0.91842,0.9512499999999999,0.98744,1.914021885,1.946851885,1.983041885,1.3925906,1.4254206,1.4616106,2.2948417340000002,2.327671734,2.3638617340000003,2.351562276,2.384392276,2.420582276,1.6616610299999999,1.69449103,1.73068103,1.497757364,1.530587364,1.566777364,2.463794286,2.496624286,2.532814286,1.3840332199999998,1.41686322,1.45305322,1.1163477,1.1491777,1.1853677,2.065148,2.097978,2.134168,1.121867,1.154697,1.190887,1.3919073199999998,1.42473732,1.46092732,1.36464693,1.39747693,1.43366693,1.12294165,1.15577165,1.19196165,1.5554343659999998,1.588264366,1.624454366,0.48653175699999995,0.519361757,0.5555517569999999,1.11394816,1.14677816,1.1829681600000002,0.955422538,0.988252538,1.024442538,1.4895399999999999,1.52237,1.55856,0.21448206,0.24731206,0.28350206
1964,2.12081,1.58021,1.75197,1.6500525739999998,1.659892574,1.7329225739999998,0.690633,0.700473,0.773503,1.886658373,1.896498373,1.969528373,1.2365572999999999,1.2463973,1.3194272999999999,2.16415471,2.17399471,2.24702471,2.298799869,2.3086398690000003,2.381669869,1.28332089,1.29316089,1.36619089,0.832254719,0.842094719,0.915124719,1.437861806,1.447701806,1.520731806,1.03292722,1.04276722,1.11579722,0.6313898,0.6412298,0.7142598,1.703813,1.713653,1.786683,1.1477359999999999,1.157576,1.2306059999999999,1.2231885699999998,1.2330285699999999,1.3060585699999998,1.30168146,1.31152146,1.38455146,1.25301197,1.26285197,1.33588197,1.828859891,1.838699891,1.911729891,0.840141927,0.849981927,0.923011927,1.0851788,1.0950188,1.1680488,1.123095548,1.132935548,1.205965548,1.4974399999999999,1.50728,1.5803099999999999,0.27148954999999997,0.28132955000000004,0.35435954999999997
1965,2.03152,1.52027,1.67645,1.576250567,1.579640567,1.6299905670000001,1.2082039999999998,1.2115939999999998,1.261944,1.900469654,1.903859654,1.954209654,1.1795155,1.1829055,1.2332555,2.1674663940000003,2.1708563940000003,2.221206394,2.234421149,2.237811149,2.288161149,1.7165676079999999,1.7199576079999999,1.770307608,0.6847571140000001,0.6881471140000001,0.7384971140000001,1.8486165559999999,1.8520065559999999,1.902356556,1.36748877,1.37087877,1.4212287700000001,0.8085855000000001,0.8119755000000001,0.8623255000000001,1.5267069999999998,1.5300969999999998,1.580447,1.3262829999999999,1.3296729999999999,1.380023,1.604191331,1.607581331,1.6579313310000001,1.2798872399999999,1.2832772399999999,1.33362724,1.41342821,1.41681821,1.46716821,1.538873519,1.542263519,1.5926135190000001,1.059301533,1.062691533,1.113041533,1.01707173,1.02046173,1.07081173,1.062045367,1.065435367,1.115785367,1.60798,1.61137,1.66172,0.29737373,0.30076373,0.35111373
1966,1.86901,1.44036,1.53545,1.485519052,1.406919052,1.541059052,0.665074,0.586474,0.7206140000000001,1.699425252,1.620825252,1.754965252,1.334201,1.255601,1.3897410000000001,2.29514953,2.21654953,2.35068953,2.154011702,2.075411702,2.2095517019999997,1.4041221199999998,1.3255221199999998,1.45966212,0.886236268,0.807636268,0.9417762679999999,1.5196904519999999,1.4410904519999999,1.575230452,1.18175287,1.10315287,1.23729287,0.7834049000000001,0.7048049000000001,0.8389449,1.6727159999999999,1.5941159999999999,1.728256,0.960451,0.881851,1.015991,1.5694100899999999,1.4908100899999999,1.62495009,1.1333682,1.0547682,1.1889082,1.14149638,1.06289638,1.19703638,1.7652293639999999,1.6866293639999999,1.820769364,0.35697744600000003,0.27837744600000003,0.412517446,0.8987191,0.8201191,0.9542591,0.760364783,0.681764783,0.8159047829999999,1.41692,1.33832,1.47246,0.11919003,0.04059003,0.17473003
1967,2.00413,1.43771,1.67595,1.6873965469999999,1.679956547,1.7532165469999998,0.90245,0.89501,0.96827,1.609978663,1.602538663,1.675798663,1.4000876,1.3926476,1.4659076,2.124679205,2.1172392049999997,2.190499205,2.036093611,2.0286536109999997,2.101913611,1.32550873,1.31806873,1.39132873,0.860248726,0.852808726,0.926068726,1.163383841,1.155943841,1.229203841,1.07955523,1.0721152299999999,1.14537523,0.2952035,0.2877635,0.3610235,1.4786849999999998,1.471245,1.5445049999999998,0.859496,0.852056,0.925316,1.2963136499999999,1.28887365,1.3621336499999999,1.27381312,1.2663731200000001,1.33963312,1.2984402,1.2910002,1.3642602,1.1921415439999998,1.184701544,1.2579615439999998,0.596152602,0.588712602,0.661972602,0.90091241,0.89347241,0.96673241,0.582304852,0.574864852,0.648124852,1.59236,1.58492,1.65818,0.05505549,0.047615489999999996,0.12087548999999999
1968,2.01168,1.45352,1.71531,1.717698916,1.7328389160000002,1.775998916,0.6928690000000001,0.7080090000000001,0.751169,1.6623644469999999,1.677504447,1.7206644469999999,1.3465532999999998,1.3616933,1.4048532999999999,2.300209539,2.3153495389999996,2.358509539,2.40214054,2.4172805399999997,2.46044054,1.47137969,1.4865196900000002,1.52967969,0.841972391,0.857112391,0.9002723909999999,1.804647463,1.8197874630000002,1.862947463,1.23642842,1.2515684200000001,1.29472842,1.2067105999999999,1.2218506,1.2650105999999999,1.9167429999999999,1.931883,1.9750429999999999,1.123786,1.138926,1.182086,1.28544335,1.3005833500000001,1.34374335,1.02501331,1.04015331,1.08331331,1.21412299,1.22926299,1.27242299,1.451226967,1.4663669670000001,1.509526967,0.43425321800000005,0.44939321800000004,0.492553218,0.8553219000000001,0.8704619,0.9136219000000001,0.726837477,0.741977477,0.7851374769999999,1.2117399999999998,1.22688,1.2700399999999998,0.12390648,0.13904648,0.18220647999999998
